country	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Macedonia, FYR	391865	391865	391865	391865	391865	391865	391865	391865	391865	391865	391865	392796	393728	394659	395590	396522	397453	398384	399315	400247	401178	403911	406644	409376	412109	414842	417575	420308	423040	425773	428506	432446	436387	440327	444268	448208	452148	456089	460029	463970	467910	472213	476515	480818	485120	489423	493726	498028	502331	506633	510936	515742	520549	525355	530161	534968	539774	544580	549386	554193	558999	564257	569515	574774	580032	585290	590548	595806	601065	606323	611581	617301	623020	628740	634460	640180	645899	651619	657339	663058	668778	675029	681279	687530	693780	700031	706282	712532	718783	725033	731284	738162	745040	751918	758796	765674	772551	779429	786307	793185	800063	807560	815058	822555	830052	837550	845047	852544	860041	867539	875036	883199	891363	899526	907689	915852	924016	932179	940342	948506	956669	965466	974263	983060	991857	1000654	1009451	1018248	1027045	1035842	1044639	1054245	1063851	1073457	1083063	1092669	1102275	1111881	1121487	1131093	1140699	1152074	1163448	1174822	1186197	1197572	1208946	1220320	1231695	1243070	1254444	1258041	1261638	1265235	1268832	1272428	1276025	1279622	1283219	1286816	1290413	1293470	1296527	1299584	1302641	1305698	1308756	1311813	1314870	1317927	1320984	1323632	1326280	1328928	1331576	1334224	1336873	1339521	1342169	1344817	1347465	1349816	1352168	1354519	1356870	1359222	1361573	1363924	1366275	1368627	1370978	1373125	1375272	1377420	1379567	1381714	1383861	1386008	1388156	1390303	1392450	1394466	1396483	1398499	1400516	1402532	1404548	1406565	1408581	1410598	1412614	1545782	1678950	1812117	1945285	2078453
Madagascar	1543133	1550030	1556928	1563825	1570722	1577620	1584517	1591414	1598311	1605209	1612106	1620390	1628675	1636959	1645244	1653528	1661812	1670097	1678381	1686666	1694950	1705784	1716618	1727453	1738287	1749121	1759955	1770789	1781624	1792458	1803292	1816016	1828741	1841465	1854190	1866914	1879638	1892363	1905087	1917812	1930536	1944158	1957781	1971403	1985025	1998648	2012270	2025892	2039514	2053137	2066759	2081187	2095615	2110043	2124471	2138899	2153327	2167755	2182183	2196611	2211039	2226474	2241909	2257345	2272780	2288215	2303650	2319085	2334521	2349956	2365391	2381829	2398267	2414705	2431143	2447582	2464020	2480458	2496896	2513334	2529772	2547344	2564916	2582488	2600060	2617632	2635203	2652775	2670347	2687919	2705491	2724378	2743264	2762150	2781037	2799924	2818810	2837696	2856583	2875470	2894356	2914503	2934650	2954798	2974945	2995092	3015239	3035386	3055534	3075681	3095828	3117507	3139185	3160864	3182543	3204222	3225900	3247579	3269258	3290936	3312615	3335990	3359364	3382738	3406113	3429488	3452862	3476236	3499611	3522986	3546360	3571384	3596408	3621432	3646456	3671480	3696503	3721527	3746551	3771575	3796599	3825294	3853990	3882686	3911381	3940076	3968772	3997468	4026163	4054858	4083554	4091981	4100409	4108836	4117263	4125690	4134118	4142545	4150972	4159400	4167827	4176656	4185486	4194315	4203144	4211974	4220803	4229632	4238461	4247291	4256120	4265332	4274544	4283756	4292968	4302180	4311391	4320603	4329815	4339027	4348239	4357821	4367403	4376986	4386568	4396150	4405732	4415314	4424897	4434479	4444061	4454009	4463957	4473905	4483853	4493802	4503750	4513698	4523646	4533594	4543542	4553859	4564176	4574494	4584811	4595128	4605445	4615762	4626080	4636397	4646714	8564449	12482184	16399920	20317655	24235390
Malawi	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737000	737468	737935	738402	738870	739338	739805	740272	740740	741208	741675	742142	742610	743078	743545	744012	744480	744948	745415	745882	746350	746818	747285	747752	748220	748688	749155	749622	750090	750558	751025	751492	751960	752428	752895	753362	753830	754298	754765	755232	755700	758147	760594	763041	765488	767936	770383	772830	775277	777724	780171	800067	819963	839858	859754	879650	899546	919442	939337	959233	979129	1003860	1028591	1053322	1078053	1102784	1127514	1152245	1176976	1201707	1226438	1263942	1301447	1338951	1376455	1413960	1451464	1488968	1526472	1563977	1601481	1637053	1672626	1708198	1743771	1779343	1814915	1850488	1886060	1921633	1957205	2056872	2156538	2256205	2355871	2455538	2555205	2654871	2754538	2854204	2953871	2959291	2964712	2970132	2975552	2980972	2986393	2991813	2997233	3002654	3008074	3013770	3019465	3025161	3030856	3036552	3042248	3047943	3053639	3059334	3065030	3071000	3076970	3082940	3088910	3094880	3100851	3106821	3112791	3118761	3124731	3130975	3137219	3143463	3149707	3155952	3162196	3168440	3174684	3180928	3187172	3193689	3200206	3206723	3213240	3219756	3226273	3232790	3239307	3245824	3252341	3259129	3265917	3272705	3279493	3286282	3293070	3299858	3306646	3313434	3320222	6099224	8878226	11657228	14436230	17215232
Malaysia	287000	287000	287000	287000	287000	287000	287000	287000	287000	287000	287000	288653	290306	291959	293612	295265	296918	298571	300224	301877	303530	308659	313787	318916	324044	329173	334302	339430	344559	349687	354816	362866	370915	378965	387015	395064	403114	411164	419214	427263	435313	445211	455110	465008	474906	484804	494703	504601	514499	524398	534296	546434	558571	570709	582847	594984	607122	619260	631398	643535	655673	674048	692424	710799	729175	747550	765925	784301	802676	821052	839427	869388	899349	929311	959272	989233	1019194	1049155	1079117	1109078	1139039	1184039	1229039	1274038	1319038	1364038	1409038	1454038	1499037	1544037	1589037	1650574	1712111	1773647	1835184	1896721	1958258	2019795	2081331	2142868	2204405	2271529	2338654	2405778	2472903	2540027	2607151	2674276	2741400	2808525	2875649	2940634	3005619	3070605	3135590	3200575	3265560	3330545	3395531	3460516	3525501	3611882	3698262	3784643	3871024	3957404	4043785	4130166	4216547	4302927	4389308	4490837	4592366	4693894	4795423	4896952	4998481	5100010	5201538	5303067	5404596	5475127	5545658	5616189	5686720	5757252	5827783	5898314	5968845	6039376	6109907	6125108	6140309	6155510	6170711	6185912	6201112	6216313	6231514	6246715	6261916	6279040	6296165	6313290	6330414	6347538	6364663	6381788	6398912	6416036	6433161	6451672	6470184	6488695	6507206	6525718	6544229	6562740	6581251	6599763	6618274	6637784	6657295	6676805	6696316	6715826	6735336	6754847	6774357	6793868	6813378	6833650	6853922	6874194	6894466	6914738	6935009	6955281	6975553	6995825	7016097	7037050	7058002	7078955	7099908	7120860	7141813	7162766	7183719	7204671	7225624	11846701	16467777	21088854	25709930	30331007
Maldives	42378	42378	42378	42378	42378	42378	42378	42378	42378	42378	42378	42444	42510	42576	42642	42708	42774	42840	42906	42972	43038	43229	43420	43611	43802	43993	44184	44375	44566	44757	44948	45218	45487	45756	46026	46296	46565	46834	47104	47374	47643	47929	48215	48500	48786	49072	49358	49644	49929	50215	50501	50747	50994	51240	51487	51733	51979	52226	52472	52719	52965	53223	53481	53738	53996	54254	54512	54770	55027	55285	55543	55812	56080	56348	56617	56886	57154	57422	57691	57960	58228	58508	58789	59070	59350	59630	59911	60192	60472	60752	61033	61328	61623	61918	62213	62508	62802	63097	63392	63687	63982	64278	64573	64869	65164	65460	65756	66051	66347	66642	66938	66770	66603	66435	66268	66100	65932	65765	65597	65430	65262	65992	66723	67453	68184	68914	69644	70375	71105	71836	72566	72820	73074	73328	73582	73836	74091	74345	74599	74853	75107	74968	74829	74689	74550	74411	74272	74133	73993	73854	73715	73766	73817	73868	73919	73970	74020	74071	74122	74173	74224	74320	74417	74514	74610	74706	74803	74900	74996	75092	75189	75318	75448	75577	75707	75836	75965	76095	76224	76354	76483	76636	76789	76942	77095	77248	77401	77554	77707	77860	78013	78182	78351	78520	78689	78858	79028	79197	79366	79535	79704	79885	80066	80247	80428	80608	80789	80970	81151	81332	81513	137942	194371	250799	307228	363657
Mali	1403398	1403398	1403398	1403398	1403398	1403398	1403398	1403398	1403398	1403398	1403398	1406889	1410380	1413871	1417362	1420853	1424344	1427835	1431326	1434817	1438308	1448571	1458834	1469098	1479361	1489624	1499887	1510150	1520414	1530677	1540940	1555780	1570620	1585461	1600301	1615141	1629981	1644821	1659662	1674502	1689342	1705612	1721881	1738150	1754420	1770690	1786959	1803228	1819498	1835768	1852037	1870308	1888580	1906851	1925122	1943394	1961665	1979936	1998207	2016479	2034750	2054823	2074895	2094968	2115041	2135114	2155186	2175259	2195332	2215404	2235477	2257398	2279318	2301238	2323159	2345080	2367000	2388920	2410841	2432762	2454682	2478735	2502789	2526842	2550896	2574949	2599002	2623056	2647109	2671163	2695216	2721800	2748385	2774969	2801553	2828138	2854722	2881306	2907890	2934475	2961059	2990154	3019249	3048344	3077439	3106534	3135628	3164723	3193818	3222913	3252008	3283810	3315611	3347412	3379214	3411016	3442817	3474618	3506420	3538222	3570023	3604405	3638786	3673168	3707549	3741931	3776313	3810694	3845076	3879457	3913839	3951532	3989225	4026917	4064610	4102303	4139996	4177689	4215381	4253074	4290767	4332533	4374299	4416064	4457830	4499596	4541362	4583128	4624893	4666659	4708425	4713486	4718548	4723609	4728671	4733732	4738793	4743855	4748916	4753978	4759039	4764255	4769471	4774687	4779903	4785118	4790334	4795550	4800766	4805982	4811198	4816554	4821909	4827265	4832620	4837976	4843332	4848687	4854043	4859398	4864754	4870233	4875713	4881192	4886671	4892150	4897630	4903109	4908588	4914068	4919547	4925132	4930718	4936303	4941889	4947474	4953059	4958645	4964230	4969816	4975401	4981073	4986746	4992418	4998090	5003762	5009435	5015107	5020779	5026452	5032124	7545638	10059152	12572666	15086180	17599694
Malta	134072	134072	134072	134072	134072	134072	134072	134072	134072	134072	134072	134305	134539	134772	135006	135239	135472	135706	135939	136173	136406	137084	137761	138439	139117	139794	140472	141150	141828	142505	143183	144144	145105	146066	147027	147988	148950	149911	150872	151833	152794	153820	154845	155871	156897	157922	158948	159974	161000	162025	163051	164149	165246	166344	167441	168539	169637	170734	171832	172929	174027	175198	176370	177542	178713	179884	181056	182228	183399	184570	185742	186987	188232	189477	190722	191967	193212	194457	195702	196947	198192	199520	200848	202176	203504	204832	206159	207487	208815	210143	211471	212894	214318	215742	217165	218588	220012	221436	222859	224282	225706	227221	228737	230252	231767	233282	234798	236313	237828	239344	240859	242478	244097	245716	247335	248954	250574	252193	253812	255431	257050	258776	260501	262226	263952	265678	267403	269128	270854	272580	274305	276146	277988	279829	281671	283512	285353	287195	289036	290878	292719	294647	296575	298502	300430	302358	304286	306214	308141	310069	311997	312070	312143	312215	312288	312361	312434	312507	312579	312652	312725	312772	312818	312865	312912	312958	313005	313052	313099	313145	313192	313223	313255	313286	313317	313348	313380	313411	313442	313474	313505	313528	313551	313574	313597	313620	313643	313666	313689	313712	313735	313753	313771	313789	313807	313824	313842	313860	313878	313896	313914	313926	313939	313951	313963	313976	313988	314000	314012	314025	314037	334964	355890	376817	397743	418670
Mauritania	382696	382696	382696	382696	382696	382696	382696	382696	382696	382696	382696	383119	383542	383965	384388	384811	385234	385657	386080	386503	386926	388141	389356	390571	391786	393001	394216	395431	396646	397861	399076	400771	402466	404161	405856	407550	409245	410940	412635	414330	416025	417792	419559	421326	423093	424860	426626	428393	430160	431927	433694	435528	437362	439195	441029	442863	444697	446531	448364	450198	452032	453943	455855	457766	459677	461588	463500	465411	467322	469234	471145	473132	475119	477105	479092	481079	483066	485053	487039	489026	491013	493083	495153	497223	499293	501362	503432	505502	507572	509642	511712	513876	516039	518203	520367	522530	524694	526858	529022	531185	533349	535600	537852	540103	542354	544606	546857	549108	551359	553611	555862	558215	560568	562921	565274	567628	569981	572334	574687	577040	579393	581854	584315	586775	589236	591697	594158	596619	599079	601540	604001	606566	609131	611697	614262	616827	619392	621957	624523	627088	629653	632737	635821	638904	641988	645072	648156	651240	654323	657407	660491	662001	663512	665022	666532	668042	669553	671063	672573	674084	675594	677215	678837	680458	682079	683700	685322	686943	688564	690186	691807	693536	695265	696994	698723	700452	702182	703911	705640	707369	709098	710932	712766	714601	716435	718269	720103	721937	723772	725606	727440	729376	731313	733249	735186	737122	739058	740995	742931	744868	746804	748840	750876	752913	754949	756985	759021	761057	763094	765130	767166	1427246	2087325	2747405	3407484	4067564
Mauritius	62865	64410	65954	67498	69043	70588	72132	73676	75221	76766	78310	80154	81999	83844	85688	87532	89377	91222	93066	94910	96755	99034	101313	103592	105871	108150	110428	112707	114986	117265	119544	122360	125175	127991	130806	133622	136438	139253	142069	144884	147700	153066	158432	163799	169165	174531	179897	185263	190630	195996	201362	209127	216891	224656	232421	240186	247950	255715	263480	271244	279009	284354	289698	295043	300388	305732	311077	316422	321767	327111	332456	334584	336713	338841	340970	343098	345226	347355	349483	351612	353740	355256	356771	358287	359802	361318	362834	364349	365865	367380	368896	369090	369284	369478	369672	369866	370059	370253	370447	370641	370835	370691	370548	370404	370261	370117	369973	369830	369686	369543	369399	369991	370583	371175	371767	372358	372950	373542	374134	374726	375318	376916	378513	380110	381708	383306	384903	386500	388098	389696	391293	393249	395205	397160	399116	401072	403028	404984	406939	408895	410851	419091	427332	435572	443812	452052	460293	468533	476773	485014	493254	494572	495889	497207	498525	499842	501160	502478	503796	505113	506431	507907	509383	510859	512335	513810	515286	516762	518238	519714	521190	522776	524362	525947	527533	529119	530705	532291	533876	535462	537048	538706	540363	542020	543678	545336	546993	548650	550308	551966	553623	555325	557027	558730	560432	562134	563836	565538	567241	568943	570645	572375	574106	575836	577567	579297	581027	582758	584488	586219	587949	725002	862054	999107	1136159	1273212
Mexico	6181708	6201769	6221830	6241891	6261952	6282012	6302073	6322134	6342195	6362256	6382317	6406217	6430116	6454016	6477916	6501816	6525715	6549615	6573515	6597414	6621314	6652249	6683183	6714118	6745053	6775988	6806922	6837857	6868792	6899726	6930661	6966481	7002300	7038120	7073940	7109760	7145579	7181399	7217219	7253038	7288858	7335413	7381969	7428524	7475079	7521634	7568190	7614745	7661300	7707856	7754411	7822191	7889970	7957750	8025529	8093309	8161089	8228868	8296648	8364427	8432207	8522807	8613407	8704007	8794607	8885206	8975806	9066406	9157006	9247606	9338206	9451444	9564681	9677919	9791156	9904394	10017632	10130869	10244107	10357344	10470582	10610398	10750214	10890031	11029847	11169663	11309479	11449295	11589112	11728928	11868744	12048134	12227523	12406913	12586302	12765692	12945082	13124471	13303861	13483250	13662640	13807894	13953149	14098404	14243658	14388912	14534167	14679422	14824676	14969930	15115185	15110942	15106698	15102455	15098211	15093968	15089725	15085481	15081238	15076994	15072751	15302863	15532975	15763087	15993199	16223310	16453422	16683534	16913646	17143758	17373870	17706479	18039087	18371696	18704304	19036913	19369522	19702130	20034739	20367347	20699956	21431216	22162476	22893737	23624997	24356257	25087517	25818777	26550038	27281298	28012558	28094913	28177269	28259624	28341979	28424334	28506690	28589045	28671400	28753756	28836111	28923663	29011215	29098767	29186319	29273872	29361424	29448976	29536528	29624080	29711632	29803890	29896149	29988407	30080666	30172924	30265182	30357441	30449699	30541958	30634216	30730775	30827334	30923892	31020451	31117010	31213569	31310128	31406686	31503245	31599804	31700341	31800879	31901416	32001954	32102491	32203028	32303566	32404103	32504641	32605178	32709459	32813740	32918020	33022301	33126582	33230863	33335144	33439424	33543705	33647986	52321834	70995681	89669529	108343376	127017224
Micronesia, Fed. Sts.	16416	16416	16416	16416	16416	16416	16416	16416	16416	16416	16416	16438	16461	16484	16506	16528	16551	16574	16596	16618	16641	16706	16771	16835	16900	16965	17030	17095	17159	17224	17289	17380	17471	17562	17653	17744	17836	17927	18018	18109	18200	18296	18392	18488	18584	18680	18775	18871	18967	19063	19159	19256	19353	19450	19547	19644	19742	19839	19936	20033	20130	20232	20334	20436	20538	20640	20742	20844	20946	21048	21150	21257	21364	21470	21577	21684	21791	21898	22004	22111	22218	22330	22442	22555	22667	22779	22891	23003	23116	23228	23340	23458	23577	23695	23813	23932	24050	24168	24286	24405	24523	24647	24771	24895	25019	25142	25266	25390	25514	25638	25762	25894	26026	26159	26291	26423	26555	26687	26820	26952	27084	27227	27369	27512	27655	27798	27940	28083	28226	28368	28511	28661	28811	28962	29112	29262	29412	29562	29713	29863	30013	30212	30410	30609	30808	31006	31205	31404	31603	31801	32000	32140	32280	32420	32560	32700	32840	32980	33120	33260	33400	33520	33639	33759	33878	33998	34118	34237	34357	34476	34596	34706	34816	34925	35035	35145	35255	35365	35474	35584	35694	35802	35910	36018	36126	36234	36342	36450	36558	36666	36774	36886	36998	37111	37223	37335	37447	37559	37672	37784	37896	38016	38135	38255	38374	38494	38614	38733	38853	38972	39092	52166	65239	78313	91386	104460
Moldova	712558	712558	712558	712558	712558	712558	712558	712558	712558	712558	712558	714322	716085	717849	719612	721376	723140	724903	726667	728430	730194	735378	740561	745745	750928	756112	761296	766479	771663	776846	782030	789523	797016	804509	812002	819495	826988	834481	841974	849467	856960	865171	873382	881593	889804	898015	906226	914437	922648	930859	939070	948026	956981	965937	974893	983848	992804	1001760	1010716	1019671	1028627	1038437	1048247	1058056	1067866	1077676	1087486	1097296	1107105	1116915	1126725	1137405	1148085	1158765	1169445	1180124	1190804	1201484	1212164	1222844	1233524	1245209	1256893	1268578	1280263	1291948	1303632	1315317	1327002	1338686	1350371	1363249	1376127	1389005	1401883	1414762	1427640	1440518	1453396	1466274	1479152	1493204	1507256	1521308	1535360	1549412	1563464	1577516	1591568	1605620	1619672	1635133	1650593	1666054	1681514	1696975	1712436	1727896	1743357	1758817	1774278	1791278	1808278	1825278	1842278	1859278	1876279	1893279	1910279	1927279	1944279	1962908	1981537	2000166	2018795	2037424	2056054	2074683	2093312	2111941	2130570	2151613	2172657	2193700	2214743	2235786	2256830	2277873	2298916	2319960	2341003	2345047	2349091	2353135	2357179	2361223	2365267	2369311	2373355	2377399	2381443	2386508	2391574	2396639	2401704	2406770	2411835	2416900	2421965	2427031	2432096	2437993	2443890	2449788	2455685	2461582	2467479	2473376	2479274	2485171	2491068	2497620	2504172	2510724	2517276	2523828	2530380	2536932	2543484	2550036	2556588	2563630	2570672	2577714	2584756	2591798	2598839	2605881	2612923	2619965	2627007	2634386	2641765	2649144	2656523	2663902	2671280	2678659	2686038	2693417	2700796	2974416	3248036	3521657	3795277	4068897
Mongolia	619000	619000	619000	619000	619000	619000	619000	619000	619000	619000	619000	619248	619497	619745	619993	620242	620490	620738	620986	621235	621483	622188	622892	623597	624302	625006	625711	626416	627121	627825	628530	629495	630460	631425	632390	633355	634320	635285	636250	637215	638180	639160	640140	641120	642100	643080	644059	645039	646019	646999	647979	648923	649867	650811	651755	652700	653644	654588	655532	656476	657420	658445	659470	660495	661520	662546	663571	664596	665621	666646	667671	668834	669996	671158	672321	673484	674646	675808	676971	678134	679296	680547	681797	683048	684299	685550	686800	688051	689302	690552	691803	693078	694354	695629	696905	698180	699455	700731	702006	703282	704557	705855	707153	708451	709749	711046	712344	713642	714940	716238	717536	718918	720300	721682	723064	724446	725827	727209	728591	729973	731355	732820	734285	735750	737215	738680	740144	741609	743074	744539	746004	747498	748993	750487	751981	753476	754970	756464	757958	759453	760947	762872	764798	766723	768648	770574	772499	774424	776349	778275	780200	781534	782867	784201	785535	786868	788202	789536	790870	792203	793537	794976	796415	797854	799293	800732	802170	803609	805048	806487	807926	809439	810953	812466	813980	815493	817006	818520	820033	821547	823060	824633	826205	827778	829351	830924	832496	834069	835642	837214	838787	840418	842050	843681	845313	846944	848575	850207	851838	853470	855101	856807	858513	860219	861925	863632	865338	867044	868750	870456	872162	1289556	1706951	2124345	2541740	2959134
Montenegro	126582	126582	126582	126582	126582	126582	126582	126582	126582	126582	126582	126884	127185	127487	127789	128090	128392	128694	128996	129297	129599	130484	131370	132256	133141	134026	134912	135798	136683	137568	138454	139731	141008	142285	143562	144839	146116	147393	148670	149947	151224	152619	154014	155408	156803	158198	159593	160988	162382	163777	165172	166670	168169	169667	171165	172664	174162	175660	177158	178657	180155	181789	183423	185058	186692	188326	189960	191594	193229	194863	196497	198269	200041	201813	203585	205356	207128	208900	210672	212444	214216	216146	218077	220007	221937	223868	225798	227728	229658	231589	233519	235637	237755	239873	241991	244110	246228	248346	250464	252582	254700	257002	259303	261604	263906	266208	268509	270810	273112	275414	277715	280246	282778	285310	287841	290372	292904	295436	297967	300498	303030	305825	308620	311415	314210	317004	319799	322594	325389	328184	330979	334032	337084	340137	343190	346242	349295	352348	355401	358453	361506	364829	368152	371476	374799	378122	381445	384768	388092	391415	394738	395352	395966	396579	397193	397807	398421	399035	399648	400262	400876	401840	402803	403766	404730	405694	406657	407620	408584	409548	410511	411633	412756	413878	415001	416123	417245	418368	419490	420613	421735	422875	424015	425155	426295	427435	428575	429715	430855	431995	433135	434201	435267	436333	437399	438466	439532	440598	441664	442730	443796	444749	445701	446654	447606	448559	449512	450464	451417	452369	453322	487814	522306	556797	591289	625781
Morocco	2503218	2512402	2521586	2530769	2539953	2549137	2558321	2567505	2576688	2585872	2595056	2606858	2618661	2630463	2642265	2654068	2665870	2677672	2689474	2701277	2713079	2729807	2746534	2763262	2779989	2796717	2813445	2830172	2846900	2863627	2880355	2900592	2920828	2941065	2961301	2981538	3001775	3022011	3042248	3062484	3082721	3104379	3126038	3147696	3169355	3191013	3212671	3234330	3255988	3277647	3299305	3322522	3345739	3368957	3392174	3415391	3438608	3461825	3485043	3508260	3531477	3556588	3581699	3606810	3631921	3657032	3682142	3707253	3732364	3757475	3782586	3809838	3837091	3864343	3891595	3918848	3946100	3973352	4000604	4027857	4055109	4084582	4114054	4143527	4173000	4202472	4231945	4261418	4290891	4320363	4349836	4381613	4413389	4445166	4476942	4508719	4540496	4572272	4604049	4635825	4667602	4701601	4735599	4769598	4803597	4837596	4871594	4905593	4939592	4973590	5007589	5075557	5143525	5211494	5279462	5347430	5415398	5483366	5551335	5619303	5687271	5780310	5873349	5966389	6059428	6152467	6245506	6338545	6431585	6524624	6617663	6725923	6834182	6942442	7050701	7158961	7267221	7375480	7483740	7591999	7700259	7828832	7957405	8085978	8214551	8343124	8471698	8600271	8728844	8857417	8985990	9011759	9037528	9063297	9089066	9114835	9140604	9166373	9192142	9217911	9243680	9272266	9300852	9329438	9358024	9386610	9415196	9443782	9472368	9500954	9529540	9560361	9591182	9622004	9652825	9683646	9714467	9745288	9776110	9806931	9837752	9870320	9902889	9935458	9968026	10000594	10033163	10065732	10098300	10130868	10163437	10197360	10231282	10265205	10299127	10333050	10366973	10400895	10434818	10468740	10502663	10537645	10572627	10607609	10642591	10677572	10712554	10747536	10782518	10817500	10852482	15557488	20262494	24967499	29672505	34377511
Mozambique	1982324	1987958	1993591	1999225	2004858	2010492	2016126	2021759	2027393	2033026	2038660	2047766	2056873	2065979	2075085	2084192	2093298	2102404	2111510	2120617	2129723	2145572	2161420	2177269	2193117	2208966	2224815	2240663	2256512	2272360	2288209	2308851	2329493	2350136	2370778	2391420	2412062	2432704	2453347	2473989	2494631	2517135	2539640	2562144	2584649	2607153	2629657	2652162	2674666	2697171	2719675	2743234	2766792	2790351	2813910	2837468	2861027	2884586	2908145	2931703	2955262	2980858	3006454	3032050	3057646	3083242	3108837	3134433	3160029	3185625	3211221	3238865	3266509	3294154	3321798	3349442	3377086	3404730	3432375	3460019	3487663	3517664	3547665	3577666	3607667	3637668	3667669	3697670	3727671	3757672	3787673	3820465	3853257	3886049	3918841	3951632	3984424	4017216	4050008	4082800	4115592	4151084	4186577	4222069	4257562	4293054	4328546	4364039	4399531	4435024	4470516	4509730	4548944	4588158	4627372	4666586	4705800	4745014	4784228	4823442	4862656	4906523	4950389	4994256	5038122	5081989	5125856	5169722	5213589	5257455	5301322	5349146	5396970	5444794	5492618	5540442	5588265	5636089	5683913	5731737	5779561	5832934	5886307	5939680	5993053	6046426	6099798	6153171	6206544	6259917	6313290	6322468	6331646	6340823	6350001	6359179	6368357	6377535	6386712	6395890	6405068	6414872	6424676	6434479	6444283	6454087	6463891	6473695	6483498	6493302	6503106	6513505	6523904	6534302	6544701	6555100	6565499	6575898	6586296	6596695	6607094	6618066	6629037	6640009	6650981	6661952	6672924	6683896	6694868	6705839	6716811	6728341	6739872	6751402	6762933	6774463	6785993	6797524	6809054	6820585	6832115	6844199	6856283	6868367	6880451	6892535	6904619	6916703	6928787	6940871	6952955	11157937	15362918	19567900	23772881	27977863
Myanmar	3506000	3506000	3506000	3506000	3506000	3506000	3506000	3506000	3506000	3506000	3506000	3509557	3513115	3516672	3520229	3523786	3527344	3530901	3534458	3538016	3541573	3551774	3561975	3572176	3582377	3592578	3602780	3612981	3623182	3633383	3643584	3657781	3671978	3686175	3700372	3714568	3728765	3742962	3757159	3771356	3785553	3800311	3815068	3829826	3844584	3859342	3874099	3888857	3903615	3918372	3933130	3949473	3965817	3982160	3998504	4014847	4031190	4047534	4063877	4080221	4096564	4144366	4192168	4239971	4287773	4335575	4383377	4431179	4478982	4526784	4574586	4690591	4806596	4922601	5038606	5154611	5270616	5386621	5502626	5618631	5734636	5923018	6111400	6299781	6488163	6676545	6864927	7053309	7241690	7430072	7618454	7874438	8130422	8386406	8642390	8898374	9154359	9410343	9666327	9922311	10178295	10370934	10563574	10756213	10948853	11141492	11334131	11526771	11719410	11912050	12104689	12222155	12339621	12457087	12574553	12692020	12809486	12926952	13044418	13161884	13279350	13426537	13573724	13720911	13868098	14015285	14162472	14309659	14456846	14604033	14751220	14962600	15173980	15385361	15596741	15808121	16019501	16230881	16442262	16653642	16865022	16931244	16997466	17063688	17129910	17196132	17262355	17328577	17394799	17461021	17527243	17559526	17591808	17624090	17656373	17688656	17720938	17753220	17785503	17817786	17850068	17883292	17916517	17949741	17982966	18016190	18049414	18082639	18115863	18149088	18182312	18217030	18251749	18286467	18321185	18355904	18390622	18425340	18460058	18494777	18529495	18566087	18602679	18639272	18675864	18712456	18749048	18785640	18822233	18858825	18895417	18934092	18972768	19011444	19050119	19088794	19127470	19166146	19204821	19243496	19282172	19322959	19363747	19404534	19445322	19486109	19526896	19567684	19608471	19649259	19690046	26531468	33372889	40214311	47055732	53897154
